symbol,close,med_turnover_cr,days
LIQUID1,1122.67,84.298424407,20
UJJIVANSFB,64.07,83.0935177835,20
GENUSPOWER,306.5,82.44000304,20
SAILIFE,1541.5,82.32962386999999,20
360ONE,1052.1,81.794179855,20
NIACL,185.41,81.686013102,20
PIRAMALFIN,2224.4,81.65160424,20
KWIL,40.83,81.2505629475,20
BLEL,439.65,80.97530183750001,20
HEG,728.25,80.95945435499999,13
RVNL,199.0,79.5089671865,20
GOLDIETF,127.94,79.497211202,20
ANTHEM,942.85,79.44065745,20
HAVELLS,1087.0,79.29699600000001,20
AVALON,2160.7,79.18196585,20
VISL,31.68,78.2691096875,20
GRANULES,872.6,77.54778620249999,20
PTCIL,22560.0,77.51047175,20
PNBHOUSING,1145.0,76.85808115500001,20
SILVERIETF,223.94,76.821655335,20
BALKRISIND,2129.0,75.82315782,20
SETFGOLD,127.57,75.647703387,20
MANKIND,2280.5,75.626217375,20
MOTILALOFS,990.8,75.002940285,20
UNITDSPR,1370.6,75.00084075000001,20
TATATECH,759.3,74.848144045,20
INOXWIND,74.35,74.671222049,20
CPPLUS,3663.4,74.65719457,20
M&MFIN,342.3,74.05747188000001,20
SAMMAANCAP,141.96,74.047767518,20
BANKINDIA,137.61,73.938686185,20
SHADOWFAX,241.15,73.7962328575,20
JSWINFRA,325.85,73.7157798675,20
SBIFUNDS,536.5,73.54352915999999,20
WELSPUNLIV,201.63,73.4058744555,20
INDHOTEL,715.0,73.25818815,20
CYIENT,1078.9,73.145712915,20
PAISALO,84.47,72.781748266,20
HAPPSTMNDS,325.6,72.72362291499999,20
KIRIINDUS,522.85,72.35501186,20
SAGILITY,45.6,72.28227713000001,20
HCC,21.32,72.266653808,20
KTKBANK,315.95,71.69091112750002,20
SKYWAYS,111.29,70.730367378,11
NHPC,76.04,70.37930751299999,20
PRESTIGE,1417.0,70.30366001,20
UNOMINDA,1159.7,69.97769575000001,20
BELRISE,226.66,69.7487909485,20
FORTIS,880.1,69.71231230999999,20
EPL,235.9,69.703741575,20
SHANKESH,94.35,69.10542473550001,16
HDFCSILVER,214.48,68.422026888,20
ANTELOPUS,1057.8,68.11489249249999,20
